repo,stars,new-stars-last-30d,new-stars-last-14d,new-stars-last-7d,new-stars-last-24H,stars-per-mille-30d,days-last-star,days-last-commit,days-since-creation,mentionable-users,language,archived,dependencies,main-category,sub-category,liveness,unique-contributors
MastodonC/kixi.stats,344,2,0,0,0,5.814,20,101,2906,9,Clojure,false,0,Clojure,Misc,4.000,0
generateme/fastmath,201,1,0,0,0,4.975,25,33,2087,6,Clojure,false,0,Clojure,Misc,8.000,0
atisharma/matlib,24,0,0,0,0,0.000,99,1154,1249,1,Clojure,false,0,Clojure,Misc,0.000,0
mathieulaporte/machine,43,0,0,0,0,0.000,246,2310,2725,1,Crystal,false,0,Crystal,General-Purpose Machine Learning,0.000,0
NeuraLegion/crystal-fann,79,0,0,0,0,0.000,394,725,2337,10,Crystal,false,0,Crystal,General-Purpose Machine Learning,0.000,0
fredwu/simple_bayes,390,0,0,0,0,0.000,82,2307,2688,3,Elixir,false,0,Elixir,General-Purpose Machine Learning,0.000,0
mrdimosthenis/emel,94,0,0,0,0,0.000,267,475,1839,1,Gleam,false,0,Elixir,General-Purpose Machine Learning,0.000,0
anshuman23/tensorflex,306,0,0,0,0,0.000,168,1605,2132,5,C,false,0,Elixir,General-Purpose Machine Learning,0.000,0
fredwu/stemmer,149,1,1,1,0,6.711,1,683,2684,2,Elixir,false,0,Elixir,Natural Language Processing,10.000,0
modern-fortran/neural-fortran,334,8,5,4,1,23.952,0,86,1942,13,Fortran,false,0,Fortran,General-Purpose Machine Learning,22.000,0
cdslaborg/paramonte,218,4,2,1,0,18.349,5,863,1387,8,Fortran,false,0,Fortran,Data Analysis / Data Visualization,12.000,0
nlpodyssey/cybertron,220,25,9,5,2,113.636,0,15,520,8,Go,false,17,Go,Natural Language Processing,45.000,4
tebeka/snowball,42,3,1,0,0,71.429,10,45,4006,1,C,false,1,Go,Natural Language Processing,13.000,0
ynqa/word-embedding,433,3,1,0,0,6.928,12,235,2488,7,Go,false,6,Go,Natural Language Processing,7.000,0
neurosnap/sentences,393,4,3,2,1,10.178,0,12,3030,8,Go,false,0,Go,Natural Language Processing,42.000,1
Lazin/go-ngram,110,0,0,0,0,0.000,167,2736,3505,5,Go,false,0,Go,Natural Language Processing,0.000,0
Rookii/paicehusk,29,0,0,0,0,0.000,123,3809,4072,1,Go,false,0,Go,Natural Language Processing,0.000,0
reiver/go-porterstemmer,190,0,0,0,0,0.000,123,2781,3826,5,Go,false,0,Go,Natural Language Processing,0.000,0
nlpodyssey/spago,1657,67,33,7,0,40.435,1,22,1418,12,Go,false,2,Go,General-Purpose Machine Learning,50.000,1
rlouf/birdland,42,0,0,0,0,0.000,96,1548,1807,2,Go,false,0,Go,General-Purpose Machine Learning,0.000,0
MaxHalford/eaopt,858,4,2,1,0,4.662,3,962,2853,16,Go,false,1,Go,General-Purpose Machine Learning,12.000,0
dmitryikh/leaves,393,2,1,1,0,5.089,5,138,1895,6,Go,false,0,Go,General-Purpose Machine Learning,12.000,0
goml/gobrain,544,1,0,0,0,1.838,24,1076,3495,6,Go,false,0,Go,General-Purpose Machine Learning,2.000,0
nikolaydubina/go-featureprocessing,102,1,1,0,0,9.804,11,155,1070,2,Go,false,3,Go,General-Purpose Machine Learning,5.000,0
songtianyi/go-mxnet-predictor,55,0,0,0,0,0.000,833,1996,2537,4,Go,false,0,Go,General-Purpose Machine Learning,0.000,0
nikolaydubina/go-ml-benchmarks,29,0,0,0,0,0.000,50,399,1017,1,Go,false,0,Go,General-Purpose Machine Learning,0.000,0
sjwhitworth/golearn,9057,18,10,5,0,1.987,2,330,3619,62,Go,false,5,Go,General-Purpose Machine Learning,21.000,0
cdipaolo/goml,1513,10,7,3,0,6.609,1,496,3071,8,Go,false,2,Go,General-Purpose Machine Learning,17.000,0
gorgonia/gorgonia,5171,31,17,10,0,5.995,1,41,2625,52,Go,false,16,Go,General-Purpose Machine Learning,31.000,0
aunum/goro,365,3,2,2,0,8.219,1,1027,1334,2,Go,false,7,Go,General-Purpose Machine Learning,12.000,0
zhenghaoz/gorse,7704,55,29,11,2,7.139,0,47,1927,38,Go,false,72,Go,General-Purpose Machine Learning,46.000,0
therfoo/therfoo,18,0,0,0,0,0.000,462,547,1764,1,Go,false,0,Go,General-Purpose Machine Learning,0.000,0
jinyeom/neat,68,0,0,0,0,0.000,76,2015,2562,1,Go,true,0,Go,General-Purpose Machine Learning,0.000,0
daviddengcn/go-pr,62,0,0,0,0,0.000,422,3820,3821,1,Go,false,0,Go,General-Purpose Machine Learning,0.000,0
alonsovidales/go_ml,202,1,0,0,0,4.950,18,3471,3644,1,Go,false,0,Go,General-Purpose Machine Learning,2.000,0
fxsjy/gonn,354,1,1,1,0,2.825,4,2855,4050,3,Go,false,0,Go,General-Purpose Machine Learning,10.000,0
jbrukh/bayesian,776,4,2,1,0,5.155,1,6,4383,12,Go,false,0,Go,General-Purpose Machine Learning,42.000,1
thoj/go-galib,195,0,0,0,0,0.000,90,2887,5106,5,Go,false,0,Go,General-Purpose Machine Learning,0.000,0
ryanbressler/CloudForest,731,1,1,1,0,1.368,5,656,4049,5,Go,false,0,Go,General-Purpose Machine Learning,10.000,0
sudachen/go-dnn,5,0,0,0,0,0.000,1424,1306,1561,1,Go,true,3,Go,General-Purpose Machine Learning,0.000,0
twpayne/go-geom,726,11,6,6,0,15.152,1,24,3549,19,Go,false,5,Go,Spatial analysis and geometry,31.000,2
golang/geo,1593,16,9,7,1,10.044,0,216,3276,16,Go,false,0,Go,Spatial analysis and geometry,31.000,0
rocketlaunchr/dataframe-go,1067,14,7,4,0,13.121,3,759,1879,5,Go,false,24,Go,Data Analysis / Data Visualization,21.000,0
