repo,stars,new-stars-last-30d,new-stars-last-14d,new-stars-last-7d,new-stars-last-24H,stars-per-mille-30d,days-last-star,days-last-commit,days-since-creation,mentionable-users,language,archived,dependencies,main-category,sub-category,liveness,unique-contributors
vasinov/jruby_mahout,162,0,0,0,0,0.000,1628,2985,4024,3,Ruby,false,0,Ruby,General-Purpose Machine Learning,0.000,0
cardmagic/classifier,656,1,0,0,0,1.524,18,120,5680,10,Ruby,false,0,Ruby,General-Purpose Machine Learning,2.000,0
febeling/rb-libsvm,278,0,0,0,0,0.000,104,1175,5366,7,C++,false,0,Ruby,General-Purpose Machine Learning,0.000,0
asafschers/scoruby,68,0,0,0,0,0.000,630,1402,2567,8,Ruby,false,0,Ruby,General-Purpose Machine Learning,0.000,0
yoshoku/rumale,715,12,5,3,0,16.783,1,2,2245,7,Ruby,false,0,Ruby,General-Purpose Machine Learning,56.000,2
alexgutteridge/rsruby,331,0,0,0,0,0.000,202,2494,5490,8,Ruby,false,0,Ruby,Data Analysis / Data Visualization,0.000,0
chrislo/data_visualisation_ruby,68,0,0,0,0,0.000,311,5084,5099,1,Ruby,false,0,Ruby,Data Analysis / Data Visualization,0.000,0
zuhao/plotrb,41,0,0,0,0,0.000,853,3713,3813,1,Ruby,false,0,Ruby,Data Analysis / Data Visualization,0.000,0
delano/scruffy,31,0,0,0,0,0.000,1627,2351,5460,3,Ruby,false,0,Ruby,Data Analysis / Data Visualization,0.000,0
glean/glean,114,0,0,0,0,0.000,415,2579,3893,3,Ruby,false,0,Ruby,Data Analysis / Data Visualization,0.000,0
kevincobain2000/listof,26,0,0,0,0,0.000,776,2481,3442,1,Ruby,false,0,Ruby,Misc,0.000,0
smartcorelib/smartcore,584,7,3,1,0,11.986,1,2,1660,18,Rust,false,8,Rust,General-Purpose Machine Learning,52.000,2
rust-ml/linfa,3063,77,38,22,3,25.139,0,0,2058,40,Rust,false,9,Rust,General-Purpose Machine Learning,100.000,2
tedsta/deeplearn-rs,207,0,0,0,0,0.000,33,2286,2949,2,Rust,false,3,Rust,General-Purpose Machine Learning,0.000,0
maciejkula/rustlearn,598,1,0,0,0,1.672,23,1250,2911,8,Rust,false,4,Rust,General-Purpose Machine Learning,2.000,0
AtheMathmo/rusty-machine,1242,2,2,1,0,1.610,1,1378,2931,20,Rust,true,3,Rust,General-Purpose Machine Learning,0.000,0
autumnai/leaf,5530,7,4,4,0,1.266,1,2139,2950,14,Rust,false,9,Rust,General-Purpose Machine Learning,12.000,0
jackm321/RustNN,333,1,1,0,0,3.003,12,3121,3163,2,Rust,false,3,Rust,General-Purpose Machine Learning,5.000,0
avinashshenoy97/RusticSOM,30,0,0,0,0,0.000,109,1142,2090,5,Rust,false,4,Rust,General-Purpose Machine Learning,0.000,0
catboost/catboost,7468,65,27,14,1,8.704,0,0,2319,343,Python,false,0,R,General-Purpose Machine Learning,90.000,15
ecpolley/SuperLearner,253,0,0,0,0,0.000,69,128,4604,8,R,false,0,R,General-Purpose Machine Learning,0.000,0
apache/incubator-mxnet,20643,56,23,4,1,2.713,0,300,3129,893,C++,true,0,R,General-Purpose Machine Learning,10.000,0
Azure/Azure-TDSP-Utilities,369,0,0,0,0,0.000,31,1855,2631,10000,HTML,true,0,R,General-Purpose Machine Learning,0.000,0
sassoftware/enlighten-apply,124,0,0,0,0,0.000,162,1694,3121,8,SAS,false,0,SAS,Demos and Scripts,0.000,0
sassoftware/enlighten-integration,61,1,1,1,0,16.393,4,1707,3150,9,Java,false,0,SAS,Demos and Scripts,10.000,0
sassoftware/enlighten-deep,19,0,0,0,0,0.000,1595,1707,3121,8,SAS,false,0,SAS,Demos and Scripts,0.000,0
sassoftware/dm-flow,55,0,0,0,0,0.000,627,1707,2992,10,,false,0,SAS,Demos and Scripts,0.000,0
scalanlp/breeze,3418,6,3,2,0,1.755,3,458,5250,115,Scala,false,0,Scala,Natural Language Processing,12.000,0
scalanlp/chalk,259,0,0,0,0,0.000,520,2488,4008,6,Scala,true,0,Scala,Natural Language Processing,0.000,0
factorie/factorie,554,0,0,0,0,0.000,227,2165,3803,55,Scala,false,0,Scala,Natural Language Processing,0.000,0
Workday/upshot-montague,54,0,0,0,0,0.000,198,1404,2802,8,Scala,false,0,Scala,Natural Language Processing,0.000,0
SciScala/NDScala,47,0,0,0,0,0.000,68,336,1257,3,Scala,false,0,Scala,Data Analysis / Data Visualization,0.000,0
Hydrospheredata/mist,326,1,0,0,0,3.067,19,1508,2869,24,Scala,false,0,Scala,Data Analysis / Data Visualization,2.000,0
twitter/scalding,3457,5,2,0,0,1.446,10,179,4335,168,Scala,false,0,Scala,Data Analysis / Data Visualization,7.000,0
twitter/summingbird,2137,0,0,0,0,0.000,47,673,4075,47,Scala,true,0,Scala,Data Analysis / Data Visualization,0.000,0
twitter/algebird,2272,2,0,0,0,0.880,18,11,4130,93,Scala,false,0,Scala,Data Analysis / Data Visualization,24.000,1
xerial/xerial,18,0,0,0,0,0.000,221,2536,4157,2,Scala,false,0,Scala,Data Analysis / Data Visualization,0.000,0
apache/predictionio,12553,3,1,0,0,0.239,11,1442,3954,159,Scala,true,0,Scala,Data Analysis / Data Visualization,0.000,0
BIDData/BIDMat,265,0,0,0,0,0.000,163,1009,4053,22,Scala,false,0,Scala,Data Analysis / Data Visualization,0.000,0
EmergentOrder/onnx-scala,134,0,0,0,0,0.000,50,1,1926,3,Scala,false,0,Scala,General-Purpose Machine Learning,40.000,2
etsy/Conjecture,360,2,2,2,0,5.556,6,2106,3446,34,Java,true,0,Scala,General-Purpose Machine Learning,0.000,0
stripe/brushfire,396,0,0,0,0,0.000,106,1933,3290,2464,Scala,true,0,Scala,General-Purpose Machine Learning,0.000,0
tresata/ganitha,109,0,0,0,0,0.000,1628,3291,3746,7,Scala,true,0,Scala,General-Purpose Machine Learning,0.000,0
bigdatagenomics/adam,960,2,2,0,0,2.083,11,94,3655,68,Scala,false,0,Scala,General-Purpose Machine Learning,7.000,0
bioscala/bioscala,105,0,0,0,0,0.000,454,2433,4961,5,Scala,false,0,Scala,General-Purpose Machine Learning,0.000,0
BIDData/BIDMach,912,0,0,0,0,0.000,304,1268,4049,24,Scala,false,0,Scala,General-Purpose Machine Learning,0.000,0
p2t2/figaro,759,0,0,0,0,0.000,36,540,3753,20,HTML,false,0,Scala,General-Purpose Machine Learning,0.000,0
h2oai/sparkling-water,957,3,3,1,0,3.135,6,0,3327,275,Scala,false,0,Scala,General-Purpose Machine Learning,62.000,1
transcendent-ai-labs/DynaML,198,1,0,0,0,5.051,28,952,3202,5,Scala,false,0,Scala,General-Purpose Machine Learning,2.000,0
CogComp/saul,63,0,0,0,0,0.000,227,1407,2975,39,Scala,false,0,Scala,General-Purpose Machine Learning,0.000,0
picnicml/doddle-model,140,0,0,0,0,0.000,47,1336,2113,8,Scala,false,0,Scala,General-Purpose Machine Learning,0.000,0
eaplatanios/tensorflow_scala,930,3,2,2,0,3.226,1,518,2427,13,Scala,false,0,Scala,General-Purpose Machine Learning,12.000,0
cloudkj/layer,558,0,0,0,0,0.000,82,1677,1811,1,Scheme,false,0,Scheme,Neural Networks,0.000,0
xmartlabs/Bender,1780,1,1,0,0,0.562,10,190,2395,28,Swift,false,0,Swift,General-Purpose Machine Learning,5.000,0
Swift-AI/Swift-AI,5986,5,1,1,0,0.835,2,2394,2925,18,Swift,false,0,Swift,General-Purpose Machine Learning,12.000,0
tensorflow/swift,6102,11,5,3,1,1.803,0,1007,2039,77,Jupyter Notebook,true,0,Swift,General-Purpose Machine Learning,0.000,0
alejandro-isaza/BrainCore,379,1,1,1,0,2.639,2,2448,2963,6,Swift,false,0,Swift,General-Purpose Machine Learning,10.000,0
stsievert/swix,593,1,1,0,0,1.686,8,1283,3452,5,C++,true,0,Swift,General-Purpose Machine Learning,0.000,0
KevinCoble/AIToolbox,789,1,0,0,0,1.267,27,1283,2796,3,Swift,false,0,Swift,General-Purpose Machine Learning,2.000,0
Somnibyte/MLKit,151,0,0,0,0,0.000,182,2277,2703,2,Swift,false,0,Swift,General-Purpose Machine Learning,0.000,0
vlall/Swift-Brain,331,0,0,0,0,0.000,140,2375,3455,3,Swift,false,0,Swift,General-Purpose Machine Learning,0.000,0
PerfectlySoft/Perfect-TensorFlow,168,0,0,0,0,0.000,111,1234,2353,4,Swift,false,0,Swift,General-Purpose Machine Learning,0.000,0
denissimon/prediction-builder-swift,11,0,0,0,0,0.000,279,21,2503,1,Swift,false,0,Swift,General-Purpose Machine Learning,10.000,1
SwiftBrain/awesome-CoreML-models,553,0,0,0,0,0.000,47,2055,2359,4,,false,0,Swift,General-Purpose Machine Learning,0.000,0
likedan/Awesome-CoreML-Models,6021,34,14,7,1,5.647,0,153,2284,14,Python,false,0,Swift,General-Purpose Machine Learning,35.000,0
markusschanta/awesome-keras,15,2,2,0,0,133.333,10,394,445,1,,false,0,TensorFlow,General-Purpose Machine Learning,7.000,0
jtoy/awesome-tensorflow,17050,58,44,13,0,3.402,1,322,2826,85,,false,0,TensorFlow,General-Purpose Machine Learning,40.000,0
cloudkj/layer,558,0,0,0,0,0.000,82,1677,1811,1,Scheme,false,0,Tools,Neural Networks,0.000,0
neuml/txtai,5466,221,111,31,5,40.432,0,1,1201,11,Python,false,0,Tools,Misc,100.000,1
ml-tooling/ml-workspace,3203,32,19,6,3,9.991,0,9,1641,10,Jupyter Notebook,false,0,Tools,Misc,55.000,1
rlan/notebooks,30,0,0,0,0,0.000,183,9,2057,1,Dockerfile,false,0,Tools,Misc,20.000,1
iterative/dvc,12428,332,57,32,7,26.714,0,0,2455,284,Python,false,0,Tools,Misc,100.000,7
iterative/dvclive,138,6,4,3,0,43.478,1,1,1115,58,Python,false,0,Tools,Misc,52.000,4
instill-ai/vdp,1188,233,67,26,2,196.128,0,1,679,22,JavaScript,false,0,Tools,Misc,100.000,8
IDSIA/sacred,4114,18,7,3,0,4.375,1,10,3524,100,Python,false,7,Tools,Misc,41.000,2
BayesWitnesses/m2cgen,2655,25,11,7,1,9.416,0,414,1775,12,Python,false,0,Tools,Misc,35.000,0
iterative/cml,3846,21,10,5,0,5.460,1,44,1366,63,JavaScript,false,52,Tools,Misc,31.000,0
iterative/mlem,704,3,1,1,0,4.261,3,71,784,51,Python,true,0,Tools,Misc,0.000,0
matifali/dockerdl,52,5,4,2,0,96.154,4,16,435,2,Dockerfile,false,0,Tools,Misc,22.000,1
aqueducthq/aqueduct,511,3,0,0,0,5.871,20,169,545,14,Go,false,0,Tools,Misc,4.000,0
reactorsh/ambrosia,102,1,0,0,0,9.804,23,177,177,1,Go,false,6,Tools,Misc,2.000,0
